variable	condA	condB	Mean_A	Mean_B	Pvalue	padj
I-TAC (46)	7. DC + Afu + CMV	2. DC + Afu	229.87	8.07	0.0265	0.152533333333333
RANTES (42)	7. DC + Afu + CMV	2. DC + Afu	79.67	20.16	0.0286	0.152533333333333
IL-6 (25)	7. DC + Afu + CMV	8. DC + CMV	6996.91	1098.63	0.11	0.176
IL-2 (19)	8. DC + CMV	1. DC alone	6.74	0	0.186	0.3
IL-10 (28)	5. DC + Afu + CMV	2. DC + Afu	360.86	810.29	0.2	0.457142857142857
IL-17A (36)	3. DC + Afu	1. DC alone	6.67	3.83	0.309	0.4635
IFN-gamma (43)	8. DC + CMV	1. DC alone	1.31	3.04	0.356	0.485454545454545
IFN-gamma (43)	5. DC + Afu + CMV	1. DC alone	275.9	3.04	0.0286	0.036184615384615
IL-1alpha (62)	5. DC + Afu + CMV	1. DC alone	25.34	3.46	0.0286	0.036184615384615
IL-1beta (18)	5. DC + Afu + CMV	1. DC alone	1154.15	1.03	0.0286	0.036184615384615
IFN-gamma (43)	6. DC + Afu + CMV	1. DC alone	44.59	3.04	0.0286	0.036184615384615
IL-6 (25)	6. DC + Afu + CMV	1. DC alone	7636.34	101.07	0.0294	0.036184615384615
IL-10 (28)	7. DC + Afu + CMV	1. DC alone	444.39	12.07	0.0286	0.036184615384615
IL-1alpha (62)	7. DC + Afu + CMV	1. DC alone	24.3	3.46	0.0286	0.036184615384615
TNF-alpha (45)	7. DC + Afu + CMV	1. DC alone	5281.64	9.09	0.0286	0.036184615384615
IL-6 (25)	7. DC + Afu + CMV	1. DC alone	6996.91	101.07	0.0294	0.036184615384615
TNF-alpha (45)	2. DC + Afu	1. DC alone	4474.38	9.09	0.0286	0.052266666666667
RANTES (42)	2. DC + Afu	1. DC alone	20.16	0.45	0.0294	0.052266666666667
IFN-gamma (43)	7. DC + Afu + CMV	8. DC + CMV	94.02	1.31	0.0265	0.052266666666667
IL-10 (28)	7. DC + Afu + CMV	8. DC + CMV	444.39	12.68	0.0286	0.052266666666667
IL-1alpha (62)	7. DC + Afu + CMV	8. DC + CMV	24.3	6.23	0.0286	0.052266666666667
RANTES (42)	7. DC + Afu + CMV	8. DC + CMV	79.67	9.6	0.0286	0.052266666666667
IL-10 (28)	6. DC + Afu + CMV	3. DC + Afu	52.79	160.5	0.0286	0.0588
IFN-gamma (43)	5. DC + Afu + CMV	4. DC + CMV	275.9	4.76	0.0286	0.065371428571429
IL-6 (25)	3. DC + Afu	1. DC alone	3602.68	101.07	0.0286	0.0715
TNF-alpha (45)	6. DC + Afu + CMV	4. DC + CMV	3197.83	46.45	0.0286	0.076266666666667
IL-12p70 (34)	7. DC + Afu + CMV	1. DC alone	0.99	0	0.0668	0.076342857142857
IFN-gamma (43)	2. DC + Afu	1. DC alone	27.55	3.04	0.0571	0.083054545454546
RANTES (42)	8. DC + CMV	1. DC alone	9.6	0.45	0.0408	0.102
IFN-alpha (48)	4. DC + CMV	1. DC alone	9.32	0	0.0689	0.11024
IP-10 (22)	3. DC + Afu	1. DC alone	88.05	30.7	0.0571	0.1108125
I-TAC (46)	5. DC + Afu + CMV	2. DC + Afu	682.73	8.07	0.0265	0.1144
IFN-beta (30)	5. DC + Afu + CMV	2. DC + Afu	592.8	57.5	0.0286	0.1144
IL-12p70 (34)	5. DC + Afu + CMV	2. DC + Afu	2.02	0.51	0.0286	0.1144
IL-2 (19)	3. DC + Afu	1. DC alone	20.86	0	0.0689	0.114833333333333
IL-1beta (18)	4. DC + CMV	1. DC alone	1.74	1.03	0.343	0.457333333333333
IL-12p70 (34)	8. DC + CMV	1. DC alone	0.01	0	0.453	0.501428571428571
IL-1beta (18)	8. DC + CMV	1. DC alone	0.42	1.03	0.46	0.501428571428571
IL-17A (36)	8. DC + CMV	1. DC alone	5.58	3.83	0.468	0.501428571428571
IFN-alpha (48)	2. DC + Afu	1. DC alone	0.09	0	0.453	0.517714285714286
I-TAC (46)	5. DC + Afu + CMV	4. DC + CMV	682.73	594.33	0.384	0.558545454545455
I-TAC (46)	3. DC + Afu	1. DC alone	0	7.45	0.453	0.56625
IL-12p70 (34)	3. DC + Afu	1. DC alone	0.22	0	0.453	0.56625
RANTES (42)	6. DC + Afu + CMV	1. DC alone	61.33	0.45	0.0294	0.036184615384615
IL-2 (19)	7. DC + Afu + CMV	1. DC alone	49.69	0	0.0211	0.036184615384615
I-TAC (46)	7. DC + Afu + CMV	1. DC alone	229.87	7.45	0.0265	0.036184615384615
IL-1alpha (62)	2. DC + Afu	1. DC alone	22.64	3.46	0.0286	0.052266666666667
IL-10 (28)	5. DC + Afu + CMV	4. DC + CMV	360.86	10.86	0.0286	0.065371428571429
IL-1alpha (62)	5. DC + Afu + CMV	4. DC + CMV	25.34	7.05	0.0286	0.065371428571429
IL-8 (27)	5. DC + Afu + CMV	4. DC + CMV	5936.07	989.04	0.0286	0.065371428571429
IFN-alpha (48)	7. DC + Afu + CMV	1. DC alone	1.5	0	0.186	0.1984
IL-12p70 (34)	6. DC + Afu + CMV	3. DC + Afu	2.26	0.22	0.124	0.220444444444444
